Date,Open,High,Low,Close,Adj Close,Volume
2023-11-10,4364.15,4521.17,4353.34,4508.24,4508.24,20003360000
2023-11-03,4334.23,4393.40,4334.23,4347.35,4347.35,19648820000
2023-10-27,4152.93,4319.72,4103.78,4317.78,4317.78,21074790000
2023-10-20,4273.85,4276.56,4127.90,4137.23,4137.23,19748960000
2023-10-13,4360.49,4393.57,4269.69,4278.00,4278.00,18427130000
2023-10-06,4234.79,4385.85,4219.55,4349.61,4349.61,17911700000
2023-09-29,4328.18,4333.15,4216.45,4258.19,4258.19,19117520000
2023-09-22,4341.74,4357.40,4238.63,4299.70,4299.70,17739670000
2023-09-15,4497.98,4497.98,4329.17,4330.00,4330.00,20679130000
2023-09-08,4451.30,4511.99,4448.38,4505.10,4505.10,17243100000
2023-09-01,4530.60,4541.25,4430.46,4451.14,4451.14,13955120000
2023-08-25,4389.38,4532.26,4356.29,4507.66,4507.66,16618700000
2023-08-18,4344.88,4458.30,4335.31,4376.31,4376.31,18750750000
2023-08-11,4450.69,4490.33,4364.83,4370.36,4370.36,19179560000
2023-08-04,4513.96,4540.34,4457.92,4468.83,4468.83,19829610000
2023-07-28,4565.75,4594.22,4485.54,4501.89,4501.89,20946810000
2023-07-21,4550.16,4607.07,4528.56,4537.41,4537.41,19782410000
2023-07-14,4514.61,4578.43,4499.56,4534.87,4534.87,19153140000
2023-07-07,4404.54,4517.38,4389.92,4510.04,4510.04,18444120000
2023-06-30,4422.44,4458.48,4385.05,4411.59,4411.59,13122370000
2023-06-23,4354.17,4398.39,4328.08,4396.44,4396.44,20478140000
2023-06-16,4440.95,4448.47,4351.82,4381.89,4381.89,18124720000
2023-06-09,4304.88,4439.20,4291.70,4425.84,4425.84,20436380000
2023-06-02,4241.01,4299.28,4241.01,4293.93,4293.93,20628590000
2023-05-26,4156.16,4232.43,4156.16,4221.02,4221.02,18316500000
2023-05-19,4204.15,4212.91,4103.98,4151.28,4151.28,16073500000
2023-05-12,4138.54,4202.20,4099.12,4198.05,4198.05,18769690000
2023-05-05,4084.73,4154.28,4084.73,4130.62,4130.62,19448110000
2023-04-28,4129.63,4186.92,4048.28,4061.22,4061.22,21061900000
2023-04-21,4132.14,4142.41,4049.35,4135.35,4135.35,18468910000
2023-04-14,4140.11,4169.48,4113.20,4129.79,4129.79,18068150000
2023-04-07,4085.20,4150.26,4072.55,4146.22,4146.22,14319190000
2023-03-31,4056.18,4133.13,4056.18,4105.02,4105.02,20442330000
2023-03-24,3939.21,4057.85,3909.16,4050.83,4050.83,20908220000
2023-03-17,3958.69,4039.49,3901.27,3948.72,3948.72,29146270000
2023-03-10,3912.77,3964.46,3808.86,3960.28,3960.28,30031880000
2023-03-03,3998.02,4078.49,3908.70,3918.32,3918.32,19988930000
2023-02-24,3973.24,4018.05,3928.16,3981.35,3981.35,21252430000
2023-02-17,4077.39,4081.51,3969.19,4012.32,4012.32,16199330000
2023-02-10,4068.92,4159.77,4060.79,4090.41,4090.41,19488980000
2023-02-03,4136.69,4182.36,4069.67,4081.50,4081.50,21464630000
2023-01-27,4053.72,4195.44,4015.55,4179.76,4179.76,22870370000
2023-01-20,3909.04,4061.57,3897.86,4060.43,4060.43,18812610000
2023-01-13,3960.60,4015.39,3885.54,3898.85,3898.85,16465470000
2023-01-06,3823.37,3997.76,3809.56,3983.17,3983.17,20829980000
2022-12-30,3829.06,3878.46,3794.33,3808.10,3808.10,15246540000
2022-12-23,3815.11,3858.19,3780.78,3849.28,3849.28,11936780000
2022-12-16,3890.91,3890.91,3764.49,3822.39,3822.39,23180790000
2022-12-09,3954.17,4100.96,3879.45,3895.75,3895.75,21837990000
2022-12-02,4040.17,4080.48,3918.39,3963.51,3963.51,20786770000
2022-11-25,4023.34,4100.51,3937.65,4076.57,4076.57,19974420000
2022-11-18,3966.39,4033.78,3933.34,4027.26,4027.26,15055760000
2022-11-11,3963.72,4028.84,3906.54,3946.56,3946.56,23387650000
2022-11-04,3766.98,3958.33,3708.84,3956.37,3956.37,24775710000
2022-10-28,3808.26,3911.79,3698.15,3719.89,3719.89,23285530000
2022-10-21,3657.10,3886.15,3647.42,3807.30,3807.30,24173700000
2022-10-14,3690.41,3762.79,3579.68,3665.78,3665.78,21799970000
2022-10-07,3706.74,3706.74,3491.58,3669.91,3669.91,22071520000
2022-09-30,3633.48,3806.91,3584.13,3744.52,3744.52,24143900000
2022-09-23,3727.14,3736.74,3610.40,3640.47,3640.47,23974810000
2022-09-16,3880.95,3907.07,3749.45,3757.99,3757.99,24142480000
2022-09-09,4022.94,4119.28,3888.28,3901.35,3901.35,20675760000
2022-09-02,3994.66,4018.43,3886.75,4006.18,4006.18,15650360000
2022-08-26,4198.74,4203.04,3903.65,3966.85,3966.85,19759860000
2022-08-19,4266.31,4266.31,4119.97,4199.12,4199.12,18642790000
2022-08-12,4225.02,4325.28,4219.78,4283.74,4283.74,19040020000
2022-08-05,4115.87,4257.91,4107.31,4207.27,4207.27,21396330000
2022-07-29,4087.33,4167.66,4079.22,4151.94,4151.94,22181960000
2022-07-22,3998.43,4078.95,3910.74,4072.43,4072.43,19851710000
2022-07-15,3818.00,3999.29,3817.18,3998.95,3998.95,20549830000
2022-07-08,3888.26,3918.50,3721.56,3790.38,3790.38,19071390000
2022-07-01,3781.00,3910.63,3742.06,3902.62,3902.62,17599030000
2022-06-24,3821.75,3945.86,3738.67,3785.38,3785.38,25767000000
2022-06-17,3665.90,3802.58,3636.87,3795.73,3795.73,23970630000
2022-06-10,3974.39,3974.39,3639.77,3666.77,3666.77,26855830000
2022-06-03,4137.57,4168.78,4017.17,4017.82,4017.82,20585660000
2022-05-27,4077.43,4177.51,4073.85,4176.82,4176.82,20135850000
2022-05-20,3927.76,4075.14,3810.32,4057.84,4057.84,23986480000
2022-05-13,3963.90,4090.72,3876.58,3900.79,3900.79,24656550000
2022-05-06,4128.17,4157.69,3858.87,3930.08,3930.08,29059870000
2022-04-29,4253.75,4307.66,4062.51,4146.87,4146.87,25043260000
2022-04-22,4385.83,4385.83,4162.90,4287.50,4287.50,24205810000
2022-04-15,4385.63,4512.94,4370.30,4393.66,4393.66,16945950000
2022-04-08,4494.15,4520.41,4381.34,4392.59,4392.59,20412820000
2022-04-01,4540.32,4593.45,4450.04,4500.21,4500.21,23719230000
2022-03-25,4522.91,4637.30,4501.07,4530.41,4530.41,22911780000
2022-03-18,4407.34,4522.00,4390.57,4520.16,4520.16,26585150000
2022-03-11,4279.50,4412.67,4161.72,4411.67,4411.67,27200870000
2022-03-04,4342.12,4342.12,4157.87,4259.52,4259.52,30624470000
2022-02-25,4298.38,4416.78,4279.54,4363.49,4363.49,27472420000
2022-02-18,4384.57,4394.60,4114.65,4288.70,4288.70,21379520000
2022-02-11,4506.27,4526.33,4364.84,4380.26,4380.26,23105780000
2022-02-04,4482.79,4590.03,4451.50,4504.08,4504.08,23233600000
2022-01-28,4336.19,4595.31,4292.46,4477.44,4477.44,23830080000
2022-01-21,4471.38,4494.52,4222.62,4326.51,4326.51,28447100000
2022-01-14,4637.99,4665.13,4477.95,4482.73,4482.73,18193800000
2022-01-07,4697.66,4748.83,4582.24,4659.03,4659.03,21094860000
2021-12-31,4775.21,4818.62,4671.26,4696.05,4696.05,20375250000
2021-12-24,4733.99,4808.93,4733.99,4778.73,4778.73,11566470000
2021-12-17,4652.50,4740.74,4531.10,4725.79,4725.79,22927870000
2021-12-10,4687.64,4731.99,4606.52,4668.67,4668.67,22492400000
2021-12-03,4589.49,4705.06,4495.12,4667.45,4667.45,22641710000
2021-11-26,4664.63,4672.95,4504.73,4577.10,4577.10,24924010000
2021-11-19,4708.44,4743.83,4652.66,4701.46,4701.46,16390300000
2021-11-12,4655.24,4714.95,4650.77,4704.54,4704.54,19385130000
2021-11-05,4699.26,4718.50,4630.86,4649.27,4649.27,21284560000
2021-10-29,4572.87,4683.00,4567.59,4680.06,4680.06,21238950000
2021-10-22,4546.12,4598.53,4524.00,4596.42,4596.42,19896360000
2021-10-15,4447.69,4551.44,4447.47,4549.78,4549.78,18433610000
2021-10-08,4406.51,4439.73,4329.92,4438.26,4438.26,17338930000
2021-10-01,4317.16,4429.97,4278.94,4399.76,4399.76,20074500000
2021-09-24,4438.04,4463.12,4306.24,4307.54,4307.54,20020290000
2021-09-17,4469.74,4471.52,4305.91,4448.98,4448.98,23964040000
2021-09-10,4506.92,4520.47,4435.46,4473.75,4473.75,19224440000
2021-09-03,4532.42,4541.45,4492.07,4493.28,4493.28,14526760000
2021-08-27,4474.10,4545.85,4474.10,4536.95,4536.95,18583900000
2021-08-20,4410.56,4501.71,4406.80,4470.00,4470.00,17917040000
2021-08-13,4464.84,4480.26,4367.73,4405.80,4405.80,18378070000
2021-08-06,4429.07,4461.77,4424.74,4460.83,4460.83,17695630000
2021-07-30,4395.12,4429.76,4373.00,4429.10,4429.10,19676190000
2021-07-23,4381.20,4429.97,4372.51,4419.15,4419.15,21317540000
2021-07-16,4367.43,4375.09,4233.13,4367.48,4367.48,20750210000
2021-07-09,4329.38,4393.68,4329.38,4360.03,4360.03,18522610000
2021-07-02,4326.60,4361.88,4289.37,4320.82,4320.82,15920290000
2021-06-25,4274.45,4320.66,4271.16,4319.94,4319.94,23250760000
2021-06-18,4204.78,4271.28,4164.40,4266.49,4266.49,22321360000
2021-06-11,4242.90,4257.16,4196.05,4221.86,4221.86,21866180000
2021-06-04,4206.05,4249.74,4206.05,4239.18,4239.18,22397800000
2021-05-28,4210.77,4234.12,4167.93,4192.85,4192.85,21145560000
2021-05-21,4168.61,4213.42,4151.72,4200.88,4200.88,22689500000
2021-05-14,4129.58,4183.13,4061.41,4159.12,4159.12,20758410000
2021-05-07,4210.34,4238.04,4056.88,4112.50,4112.50,22960100000
2021-04-30,4198.10,4209.39,4128.59,4201.62,4201.62,21565480000
2021-04-23,4138.78,4218.78,4138.78,4211.47,4211.47,19114940000
2021-04-16,4174.14,4191.31,4118.38,4134.98,4134.98,20449150000
2021-04-09,4096.11,4173.49,4095.51,4170.42,4170.42,18982780000
2021-04-02,4034.44,4098.19,4034.44,4097.17,4097.17,16114210000
2021-03-26,3917.12,4020.63,3917.12,4019.87,4019.87,22973030000
2021-03-19,3913.14,3955.31,3853.50,3909.52,3909.52,26474050000
2021-03-12,3924.52,3983.87,3910.86,3915.46,3915.46,23669710000
2021-03-05,3793.58,3960.27,3730.19,3939.34,3939.34,29396600000
2021-02-26,3839.66,3914.50,3723.34,3768.47,3768.47,30545960000
2021-02-19,3921.16,3930.41,3805.59,3829.34,3829.34,29619290000
2021-02-12,3911.65,3950.43,3885.03,3913.97,3913.97,18718350000
2021-02-05,3878.30,3931.50,3874.93,3916.38,3916.38,23524180000
2021-01-29,3778.05,3872.42,3694.12,3871.74,3871.74,27337800000
2021-01-22,3844.24,3870.90,3732.48,3787.38,3787.38,35218520000
2021-01-15,3788.73,3861.45,3749.62,3853.07,3853.07,19452210000
2021-01-08,3815.05,3826.69,3776.51,3795.54,3795.54,24034410000
2021-01-01,3764.61,3811.55,3662.71,3803.79,3803.79,20769290000
2020-12-25,3723.03,3760.20,3723.03,3756.07,3756.07,13262640000
2020-12-18,3722.39,3726.70,3636.48,3703.06,3703.06,21561930000
2020-12-11,3656.08,3725.12,3633.40,3722.48,3722.48,21646250000
2020-12-04,3670.94,3712.39,3645.18,3668.10,3668.10,24379790000
2020-11-27,3638.55,3682.73,3594.39,3666.72,3666.72,24611870000
2020-11-20,3579.31,3642.31,3552.77,3629.65,3629.65,20484650000
2020-11-13,3552.57,3628.51,3543.84,3581.87,3581.87,24475450000
2020-11-06,3508.34,3645.99,3484.34,3537.01,3537.01,28995660000
2020-10-30,3293.59,3529.05,3233.94,3510.45,3510.45,23048550000
2020-10-23,3464.90,3466.46,3259.82,3310.11,3310.11,21668040000
2020-10-16,3493.50,3515.76,3415.34,3453.49,3453.49,20972980000
2020-10-09,3459.67,3549.85,3440.89,3483.34,3483.34,18574010000
2020-10-02,3338.94,3447.28,3323.69,3446.83,3446.83,19803680000
2020-09-25,3236.66,3397.18,3228.44,3380.80,3380.80,20230810000
2020-09-18,3357.38,3362.27,3209.45,3246.59,3246.59,24867550000
2020-09-11,3352.70,3428.92,3310.47,3357.01,3357.01,20705600000
2020-09-04,3453.60,3479.15,3329.25,3339.19,3339.19,17274200000
2020-08-28,3494.69,3588.11,3427.41,3455.06,3455.06,21525750000
2020-08-21,3386.01,3501.38,3379.31,3484.55,3484.55,18612490000
2020-08-14,3368.66,3399.54,3354.69,3385.51,3385.51,17440460000
2020-08-07,3340.05,3387.89,3326.44,3373.43,3373.43,20529470000
2020-07-31,3270.45,3351.03,3220.26,3349.16,3349.16,22674840000
2020-07-24,3218.58,3264.74,3200.05,3246.22,3246.22,20456020000
2020-07-17,3224.21,3279.99,3205.65,3235.66,3235.66,21112720000
2020-07-10,3152.47,3238.28,3127.66,3215.57,3215.57,22593460000
2020-07-03,3155.29,3184.15,3115.70,3152.05,3152.05,19111450000
2020-06-26,3073.20,3165.81,2999.74,3130.01,3130.01,25934620000
2020-06-19,3140.29,3155.53,3024.01,3083.76,3083.76,28190560000
2020-06-12,3071.04,3153.45,2965.66,3115.34,3115.34,26457760000
2020-06-05,3163.84,3233.13,2999.49,3002.10,3002.10,37184720000
2020-05-29,3025.17,3130.94,2998.61,3112.35,3112.35,29635720000
2020-05-22,2948.05,3068.67,2933.59,3029.73,3029.73,21664380000
2020-05-15,2829.95,2980.29,2816.78,2948.51,2948.51,26847700000
2020-05-08,2908.83,2945.82,2766.64,2852.50,2852.50,26618170000
2020-05-01,2869.09,2901.92,2797.85,2881.19,2881.19,24707390000
2020-04-24,2812.64,2954.86,2791.76,2912.43,2912.43,29468520000
2020-04-17,2842.43,2879.22,2727.10,2797.80,2797.80,27012900000
2020-04-10,2782.46,2851.85,2721.17,2799.55,2799.55,21372070000
2020-04-03,2514.92,2818.57,2459.96,2789.82,2789.82,33326480000
2020-03-27,2555.87,2641.39,2447.49,2526.90,2526.90,30957190000
2020-03-20,2431.94,2637.01,2191.86,2630.07,2630.07,40095480000
2020-03-13,2569.99,2711.33,2280.52,2409.39,2409.39,41230170000
2020-03-06,2954.20,2985.93,2478.86,2480.64,2480.64,38920580000
